,基金号,近1年std,近2年std,近3年std,近1年夏普率,近2年夏普率,近3年夏普率
000136,000136,23.14%,19.48%,18.58%,2.38,2.11,1.33
000423,000423,12.79%,18.25%,20.17%,1.83,1.19,0.75
000589,000589,19.16%,21.03%,21.79%,2.43,1.90,1.00
000073,000073,25.34%,25.49%,27.07%,2.33,1.56,0.70
001232,001232,0.13%,0.15%,0.17%,4.19,5.70,8.00
001398,001398,26.80%,25.61%,26.13%,2.12,1.75,0.92
001662,001662,21.82%,19.84%,17.90%,2.04,1.31,0.60
000970,000970,19.18%,21.06%,22.30%,1.97,1.43,0.87
000618,000618,0.10%,0.11%,0.14%,7.41,9.22,10.58
000248,000248,23.05%,22.71%,23.83%,1.82,1.62,1.16
001009,001009,22.90%,22.39%,23.15%,2.35,1.93,0.89
000161,000161,--,--,--,--,--,--
000531,000531,19.16%,21.61%,22.03%,1.83,0.96,0.57
001770,001770,7.83%,7.97%,8.27%,2.36,1.28,0.83
000862,000862,0.09%,0.10%,0.15%,5.15,7.19,8.47
001320,001320,18.60%,16.94%,16.09%,2.58,1.99,1.20
001635,001635,10.79%,9.54%,8.91%,0.90,1.06,0.83
000927,000927,21.69%,20.25%,20.68%,0.53,0.30,0.01
001265,001265,6.15%,10.47%,9.96%,1.93,0.95,0.57
000024,000024,1.76%,1.52%,1.42%,2.63,3.03,2.84
002019,002019,5.16%,4.67%,4.33%,1.78,1.71,1.32
001859,001859,0.84%,0.84%,1.08%,2.30,3.92,3.41
001336,001336,5.86%,5.15%,5.27%,2.47,2.27,1.42
000874,000874,0.09%,0.10%,0.15%,10.44,11.45,11.28
001766,001766,20.59%,20.83%,22.25%,2.75,2.23,1.59
000527,000527,20.26%,19.01%,19.47%,2.62,1.85,1.22
000198,000198,0.09%,0.10%,0.14%,5.19,7.39,8.67
000462,000462,25.51%,23.25%,24.50%,2.34,1.81,0.79
000032,000032,1.83%,1.61%,1.55%,0.70,2.06,2.06
001789,001789,8.22%,10.57%,12.87%,1.75,1.08,0.47
001273,001273,17.24%,18.38%,15.69%,1.76,0.38,0.14
000931,000931,1.07%,1.61%,1.74%,3.15,2.68,1.83
001623,001623,21.42%,18.10%,18.14%,2.11,1.70,1.10
000659,000659,0.00%,0.00%,0.14%,-3.88,-6.72,-8.64
000209,000209,26.61%,25.00%,24.51%,2.19,1.47,0.53
001048,001048,21.27%,19.27%,21.23%,1.67,1.24,0.38
001418,001418,6.83%,8.02%,7.33%,1.82,1.77,1.35
000120,000120,19.99%,18.82%,18.47%,2.49,1.63,0.93
000823,000823,23.67%,22.39%,21.93%,2.05,1.38,0.69
001731,001731,19.43%,18.82%,20.39%,1.77,0.71,0.31
000989,000989,23.15%,23.37%,22.85%,2.14,0.99,0.68
001361,001361,26.74%,28.18%,26.97%,1.22,0.90,0.29
000966,000966,24.01%,19.51%,19.26%,1.92,1.49,0.76
001224,001224,21.95%,20.81%,19.06%,2.70,2.38,1.76
000065,000065,4.53%,5.23%,5.63%,2.41,1.81,0.98
000435,000435,5.10%,5.97%,5.93%,0.90,0.63,0.17
001930,001930,0.12%,0.16%,0.19%,6.18,6.90,8.20
000788,000788,23.87%,24.49%,23.17%,2.07,1.47,0.83
000272,000272,1.22%,1.18%,1.09%,1.02,2.40,2.75
001033,001033,12.61%,9.42%,7.92%,0.69,0.61,0.60
001199,001199,1.53%,4.39%,6.56%,1.99,1.07,0.26
001463,001463,21.88%,21.31%,22.39%,2.29,1.40,0.56
001176,001176,0.09%,0.10%,0.13%,11.39,12.05,12.67
001526,001526,0.12%,0.14%,0.17%,4.96,7.64,9.37
000767,000767,18.44%,19.99%,21.21%,1.81,1.26,0.46
001875,001875,24.04%,25.13%,21.32%,2.44,1.89,1.61
002023,002023,10.41%,11.84%,12.64%,0.59,1.17,0.52
000858,000858,--,--,--,--,--,--
001064,001064,23.02%,23.27%,22.35%,1.53,0.82,-0.03
000225,000225,3.47%,2.71%,2.78%,-0.24,0.48,-0.06
001967,001967,13.60%,16.71%,17.78%,1.91,0.81,0.11
001988,001988,2.03%,1.62%,1.51%,0.23,1.16,1.72
000360,000360,1.94%,5.42%,4.86%,1.74,0.89,0.26
000730,000730,0.09%,0.11%,0.15%,7.88,9.27,10.48
001822,001822,26.39%,22.95%,23.27%,2.23,1.55,0.96
001571,001571,3.28%,2.44%,2.27%,0.14,0.90,1.87
001121,001121,23.65%,20.58%,20.99%,1.62,0.97,0.28
000419,000419,1.92%,1.47%,1.36%,0.41,1.64,2.33
000049,000049,32.17%,24.10%,21.03%,-0.56,-0.42,-0.18
001208,001208,18.84%,17.58%,19.22%,1.82,1.31,0.95
000663,000663,23.39%,22.13%,21.03%,2.46,1.99,1.22
001588,001588,20.26%,20.44%,19.91%,1.54,1.11,0.55
001072,001072,24.79%,24.12%,24.03%,2.08,1.64,0.90
001422,001422,3.35%,2.88%,2.53%,3.70,3.27,2.85
001567,001567,4.57%,4.15%,4.17%,2.77,2.63,1.78
001834,001834,14.10%,21.17%,17.33%,2.43,0.84,0.66
000726,000726,0.10%,0.11%,0.15%,5.95,8.26,9.42
000376,000376,21.35%,23.05%,22.88%,1.97,0.96,0.68
001475,001475,34.75%,29.76%,28.18%,1.74,1.12,0.56
000264,000264,21.16%,18.93%,18.99%,1.66,1.34,0.74
001926,001926,0.09%,0.10%,0.13%,9.28,9.88,10.55
000634,000634,21.16%,19.19%,19.23%,2.27,2.16,1.43
001863,001863,5.45%,6.42%,7.19%,1.32,1.19,0.48
000771,000771,0.09%,0.09%,0.14%,4.77,6.70,7.94
001530,001530,3.55%,3.84%,4.31%,3.08,2.14,1.05
000458,000458,27.16%,23.99%,21.63%,1.32,0.76,0.52
000008,000008,21.06%,23.19%,22.36%,1.24,0.69,0.05
002035,002035,4.73%,4.94%,4.31%,1.14,1.19,1.00
001249,001249,3.40%,5.01%,5.29%,3.41,2.13,1.49
001619,001619,1.77%,--,--,1.00,--,--
000090,000090,25.38%,18.13%,14.81%,-0.95,-0.62,-0.43
000839,000839,2.11%,1.80%,1.74%,0.35,1.12,0.82
001681,001681,20.91%,20.62%,21.56%,1.89,1.44,0.95
000993,000993,23.44%,22.37%,22.09%,2.51,1.35,0.56
000585,000585,3.08%,4.36%,3.80%,2.85,1.38,0.83
001117,001117,21.04%,20.71%,20.93%,1.91,1.74,1.03
001547,001547,4.68%,4.49%,4.41%,3.65,2.77,1.81
000706,000706,15.92%,16.79%,16.65%,1.94,1.31,0.64
000356,000356,2.28%,2.06%,2.02%,1.73,2.09,1.88
001951,001951,33.00%,27.65%,26.89%,1.51,1.12,0.60
000213,000213,2.05%,1.73%,1.55%,1.14,1.47,1.54
001052,001052,21.21%,23.09%,22.20%,1.23,0.69,0.06
001402,001402,4.97%,10.88%,13.23%,3.28,0.69,0.25
001286,001286,3.46%,4.24%,4.56%,3.36,2.85,1.40
000497,000497,3.00%,2.28%,1.93%,-0.03,0.83,1.31
000182,000182,4.83%,4.44%,3.95%,0.37,0.68,0.47
000478,000478,22.90%,23.57%,22.99%,1.41,0.84,0.14
002015,002015,6.53%,5.00%,4.25%,2.32,1.86,1.63
000028,000028,9.88%,7.09%,5.91%,0.69,0.71,0.47
000301,000301,0.09%,0.11%,0.15%,7.58,8.45,9.36
001843,001843,0.11%,0.11%,0.16%,5.48,7.43,8.38
000751,000751,22.66%,22.29%,23.26%,2.59,2.05,1.36
001510,001510,19.61%,19.23%,19.01%,3.12,2.52,2.03
001140,001140,19.98%,17.02%,17.42%,2.16,1.75,0.90
001455,001455,20.49%,22.49%,21.65%,1.39,0.77,0.13
000244,000244,2.31%,2.30%,2.14%,1.31,2.32,2.18
001906,001906,1.90%,1.58%,1.47%,1.29,2.19,2.43
000614,000614,30.45%,23.73%,21.26%,0.48,0.21,0.07
000481,000481,12.71%,9.32%,13.02%,-1.57,-1.26,-1.60
000878,000878,22.29%,22.80%,25.41%,1.99,1.60,1.23
000897,000897,3.90%,3.42%,2.94%,-0.40,0.59,0.66
001785,001785,1.54%,4.79%,--,-1.03,-0.32,--
002003,002003,12.28%,13.75%,15.59%,3.02,1.46,0.55
000194,000194,1.84%,1.51%,1.55%,0.75,1.72,1.87
001156,001156,31.04%,28.52%,26.91%,2.41,1.53,0.77
001506,001506,3.57%,5.08%,4.59%,1.50,1.22,1.00
000747,000747,19.89%,19.47%,19.78%,2.24,1.64,1.05
000602,000602,0.10%,0.11%,0.14%,9.54,10.77,11.40
001910,001910,18.34%,17.80%,18.06%,2.14,1.52,0.87
000252,000252,1.22%,1.08%,1.25%,0.26,1.56,0.90
001013,001013,2.82%,2.61%,3.58%,1.35,1.83,0.44
001443,001443,7.43%,7.04%,6.83%,2.96,2.61,1.93
000985,000985,31.15%,29.73%,27.87%,1.58,1.42,0.65
001697,001697,0.11%,0.10%,0.16%,2.96,5.08,6.92
000086,000086,1.75%,1.61%,1.46%,1.52,1.83,1.79
000439,000439,0.09%,0.14%,0.16%,4.78,4.11,4.28
000593,000593,32.05%,26.59%,22.99%,0.76,0.37,0.40
000069,000069,2.48%,1.96%,1.79%,1.52,2.07,2.12
002054,002054,4.24%,6.56%,7.63%,2.37,1.38,1.03
001228,001228,5.03%,10.95%,11.88%,3.55,1.35,0.20
001382,001382,23.29%,23.46%,23.99%,1.82,1.58,1.05
001678,001678,19.68%,--,--,1.71,--,--
000710,000710,0.09%,0.10%,0.13%,7.04,8.36,9.89
001802,001802,2.80%,2.44%,2.23%,1.77,2.45,2.41
001551,001551,21.83%,22.90%,23.04%,2.09,1.22,0.70
001101,001101,0.09%,0.08%,0.16%,6.08,8.00,7.48
001414,001414,17.96%,13.76%,12.45%,0.93,0.93,0.17
001044,001044,20.79%,19.98%,20.66%,2.34,1.56,1.07
000205,000205,2.24%,1.81%,1.62%,0.67,1.61,1.89
000655,000655,1.30%,1.30%,1.31%,1.53,1.24,0.85
001947,001947,3.74%,3.40%,3.19%,0.60,1.01,0.65
000012,000012,--,--,--,--,--,--
000911,000911,2.50%,1.98%,1.76%,0.09,0.79,1.00
001603,001603,16.53%,15.90%,17.27%,2.71,2.04,1.12
001316,001316,2.57%,2.48%,2.51%,1.79,2.44,2.32
000854,000854,24.33%,24.72%,25.88%,2.07,1.70,1.12
001746,001746,6.28%,6.94%,6.89%,1.48,1.49,0.94
000507,000507,6.24%,4.95%,5.56%,1.27,1.10,0.84
000157,000157,--,--,--,--,--,--
001195,001195,23.17%,23.34%,23.46%,2.38,1.66,1.05
000784,000784,0.93%,0.11%,--,2.96,21.97,--
001879,001879,26.28%,23.45%,23.02%,2.28,1.81,1.02
001480,001480,32.48%,31.74%,29.28%,1.41,1.55,0.84
000946,000946,22.83%,23.49%,22.75%,2.17,1.21,0.85
001654,001654,17.41%,17.74%,17.55%,2.49,1.72,0.87
001204,001204,4.63%,5.39%,5.78%,2.24,1.92,1.30
000045,000045,3.39%,3.16%,3.22%,1.80,2.03,1.54
000415,000415,2.04%,1.67%,1.57%,1.09,2.70,2.86
000550,000550,18.43%,18.05%,19.80%,2.45,1.37,0.32
000803,000803,23.40%,24.09%,23.08%,2.62,1.64,0.91
001711,001711,2.49%,2.31%,2.29%,2.05,2.38,2.09
000679,000679,26.38%,22.15%,19.19%,1.89,1.28,0.82
001592,001592,25.65%,25.54%,25.46%,1.93,1.30,0.53
001068,001068,14.12%,12.62%,12.03%,0.93,0.99,0.42
001438,001438,25.31%,24.64%,23.49%,2.00,1.30,0.73
001087,001087,7.70%,7.45%,6.55%,0.56,0.34,0.08
000696,000696,21.81%,20.85%,21.98%,2.46,1.33,0.30
001984,001984,19.50%,16.28%,18.44%,2.67,2.08,0.84
000403,000403,2.32%,1.86%,1.88%,0.13,1.18,0.93
000053,000053,1.30%,1.41%,1.56%,1.54,3.53,2.79
001212,001212,3.68%,3.20%,3.16%,0.22,0.06,-0.06
000950,000950,26.49%,27.27%,26.08%,0.55,0.72,0.37
001357,001357,16.79%,16.93%,17.68%,2.90,1.86,1.14
001707,001707,24.39%,27.89%,27.42%,0.63,0.83,0.38
000815,000815,2.70%,2.28%,2.38%,0.14,-0.07,0.20
000546,000546,1.41%,1.26%,1.27%,2.14,3.39,2.81
000116,000116,1.37%,1.17%,1.13%,2.38,3.09,3.15
001584,001584,2.33%,1.73%,1.75%,0.28,1.13,1.38
000395,000395,1.38%,1.26%,1.18%,0.58,1.57,1.74
001992,001992,0.10%,0.12%,0.16%,6.68,7.78,9.43
001838,001838,37.90%,33.36%,32.29%,1.38,0.78,0.37
001615,001615,5.61%,5.52%,4.88%,0.93,1.16,0.69
000907,000907,0.09%,0.11%,0.14%,5.91,7.93,9.43
001245,001245,23.63%,21.72%,22.18%,2.74,1.92,0.77
000004,000004,23.01%,20.77%,19.24%,0.95,0.82,0.22
000141,000141,0.66%,0.55%,0.63%,1.20,2.74,3.14
000511,000511,6.73%,10.76%,11.17%,2.99,1.13,0.16
001750,001750,0.93%,1.19%,2.76%,1.22,2.70,-0.04
000842,000842,--,--,--,--,--,--
001300,001300,25.57%,23.60%,23.36%,2.49,1.81,0.87
000638,000638,0.09%,0.11%,0.16%,7.78,9.05,10.00
001880,001880,26.67%,21.01%,19.11%,2.37,1.88,1.25
000792,000792,25.58%,--,--,1.11,--,--
000268,000268,3.36%,2.62%,2.21%,0.37,1.08,1.32
001183,001183,5.07%,4.31%,3.73%,2.74,2.38,1.99
001479,001479,18.22%,17.37%,16.84%,1.92,1.35,0.86
001496,001496,21.98%,19.64%,20.20%,2.75,1.79,0.81
000639,000639,6.10%,5.28%,5.06%,-0.58,-0.87,-0.66
001881,001881,20.28%,20.40%,20.69%,2.04,1.68,0.98
000793,000793,26.52%,27.43%,26.82%,2.78,1.58,0.62
001028,001028,25.62%,26.36%,25.27%,1.68,1.35,0.60
001182,001182,9.66%,11.01%,11.28%,3.15,2.44,1.61
001478,001478,0.11%,0.12%,0.17%,7.00,8.52,9.74
001497,001497,0.09%,0.12%,0.15%,9.21,10.76,11.95
000286,000286,1.61%,1.32%,1.31%,0.66,1.76,2.22
001614,001614,14.21%,16.66%,18.93%,0.93,0.69,0.06
000906,000906,31.62%,26.05%,24.94%,2.34,1.21,0.84
001244,001244,20.89%,21.81%,21.36%,1.62,0.99,0.33
000005,000005,2.60%,2.12%,1.91%,0.90,1.80,2.07
000140,000140,--,--,--,--,--,--
001751,001751,5.08%,4.36%,6.70%,0.97,0.71,-0.79
000843,000843,21.50%,16.77%,14.00%,1.84,1.22,1.01
001301,001301,25.58%,23.67%,23.38%,2.46,1.76,0.83
001585,001585,2.33%,1.73%,1.94%,0.23,1.06,1.22
000394,000394,0.66%,0.53%,0.58%,1.83,3.00,3.28
001993,001993,1.41%,1.33%,1.21%,2.60,3.12,3.20
000681,000681,0.07%,0.09%,0.13%,6.47,7.32,8.02
001839,001839,24.57%,24.89%,23.37%,1.87,1.32,0.70
000402,000402,2.33%,1.86%,1.89%,0.31,1.39,1.13
001213,001213,3.72%,3.19%,3.21%,0.27,0.05,-0.08
001643,001643,36.68%,31.07%,28.47%,2.05,1.61,1.04
000951,000951,0.11%,0.13%,0.17%,6.59,9.11,10.45
001356,001356,8.65%,7.49%,6.14%,0.75,0.61,0.68
001706,001706,18.76%,15.09%,12.46%,1.56,1.66,1.41
000814,000814,2.70%,2.15%,1.77%,0.10,0.15,0.74
000547,000547,22.69%,20.81%,20.30%,2.17,1.92,1.01
000117,000117,21.40%,21.40%,23.09%,2.28,1.91,0.85
000678,000678,0.10%,0.11%,0.15%,8.42,9.86,10.71
001593,001593,25.65%,25.53%,25.46%,1.92,1.29,0.52
001069,001069,22.44%,22.80%,23.92%,2.91,2.17,1.17
001086,001086,7.35%,7.26%,6.40%,0.93,0.56,0.26
000697,000697,26.11%,26.88%,28.25%,1.84,1.19,0.40
001985,001985,26.59%,26.03%,25.27%,2.36,1.79,1.09
000044,000044,26.74%,23.07%,20.36%,1.16,0.59,0.81
000414,000414,3.46%,3.09%,2.85%,2.68,1.68,0.85
000551,000551,21.25%,20.27%,21.47%,2.19,1.75,0.70
000802,000802,1.42%,1.32%,1.18%,0.73,1.41,1.57
001710,001710,2.54%,2.34%,2.30%,2.09,2.42,2.17
001194,001194,3.41%,2.84%,2.40%,2.76,2.47,2.21
000785,000785,0.10%,0.10%,0.16%,3.99,6.51,7.62
001897,001897,25.42%,26.00%,24.51%,1.49,1.08,0.45
000290,000290,8.21%,6.70%,6.22%,-0.59,0.31,0.04
001878,001878,24.93%,24.28%,24.83%,1.30,0.82,0.41
001481,001481,56.17%,45.47%,40.20%,-0.75,-1.14,-0.65
000013,000013,0.10%,0.11%,0.15%,9.24,10.59,11.49
001252,001252,18.46%,20.62%,21.53%,2.36,1.47,0.75
000910,000910,2.50%,1.98%,1.76%,0.04,0.73,0.94
001602,001602,20.28%,15.38%,13.29%,1.38,1.07,0.64
000855,000855,0.08%,0.09%,0.13%,6.15,8.16,8.66
001747,001747,7.93%,6.94%,--,2.95,2.34,--
000506,000506,0.10%,0.11%,0.13%,8.62,9.81,10.79
000341,000341,15.69%,11.34%,9.37%,-0.27,0.16,0.01
000711,000711,22.65%,23.94%,24.75%,2.30,1.58,1.09
001803,001803,2.82%,2.47%,2.27%,1.65,2.33,2.27
001550,001550,21.85%,22.90%,23.04%,2.10,1.23,0.71
001415,001415,4.55%,3.56%,2.97%,2.48,1.90,1.55
001045,001045,20.69%,18.49%,17.45%,1.47,1.08,0.51
000204,000204,0.09%,0.11%,0.14%,7.92,8.33,9.46
000654,000654,23.67%,20.00%,20.72%,1.35,1.29,0.50
001946,001946,2.51%,2.78%,2.62%,1.56,1.92,1.70
001696,001696,22.70%,20.97%,21.08%,2.52,1.84,1.08
000087,000087,3.32%,2.59%,2.38%,-1.18,-1.16,-1.00
000438,000438,1.90%,1.61%,1.54%,1.02,2.07,2.12
000592,000592,22.25%,22.27%,22.83%,2.74,1.77,0.86
002055,002055,6.11%,10.43%,9.98%,1.94,0.94,0.55
000068,000068,14.82%,12.80%,12.58%,1.09,1.11,0.49
001229,001229,23.45%,18.17%,16.24%,1.58,0.76,0.38
001679,001679,24.35%,25.12%,23.81%,2.65,2.30,1.50
001157,001157,4.96%,7.18%,8.96%,3.89,1.90,1.44
001507,001507,3.58%,5.09%,4.59%,1.45,1.17,0.93
000746,000746,25.29%,24.40%,24.52%,2.87,2.14,1.32
000316,000316,1.66%,1.23%,2.30%,-0.05,-0.23,0.63
000603,000603,22.79%,22.31%,23.24%,2.12,1.37,0.60
001911,001911,1.76%,1.41%,1.25%,0.85,1.92,2.60
000253,000253,1.23%,1.10%,1.24%,-0.03,1.12,0.59
001442,001442,13.23%,14.90%,--,1.67,1.59,--
000480,000480,19.48%,20.50%,19.42%,1.51,0.82,0.42
001291,001291,21.17%,19.99%,19.31%,1.77,1.15,0.38
000879,000879,22.24%,22.79%,25.41%,1.95,1.57,1.21
000896,000896,3.89%,3.42%,2.94%,-0.29,0.72,0.80
001784,001784,2.53%,--,--,0.41,--,--
002002,002002,--,--,--,--,--,--
000195,000195,6.95%,5.90%,4.97%,2.78,2.16,1.91
000300,000300,0.09%,0.10%,0.14%,5.17,6.47,7.87
001842,001842,0.10%,0.10%,0.16%,3.30,5.42,7.02
000750,000750,0.09%,0.09%,0.14%,2.18,4.37,6.35
001511,001511,18.89%,18.82%,18.55%,1.56,1.33,0.84
001141,001141,6.85%,10.75%,11.11%,1.71,1.60,1.05
001454,001454,4.73%,7.96%,10.80%,2.60,1.60,0.27
001004,001004,20.82%,18.42%,17.98%,2.24,1.70,1.16
000245,000245,2.31%,2.30%,2.15%,1.14,2.14,1.98
001907,001907,23.36%,20.86%,17.35%,2.57,1.97,1.60
000615,000615,0.09%,0.09%,0.15%,7.37,9.09,9.21
001287,001287,22.09%,21.44%,21.96%,2.17,1.51,1.09
000496,000496,24.03%,19.06%,20.15%,0.13,0.41,0.23
000183,000183,2.16%,1.89%,2.12%,2.11,1.89,0.94
000029,000029,20.67%,17.99%,18.33%,1.99,1.79,1.15
001792,001792,3.28%,3.39%,3.37%,0.67,0.05,-0.24
000880,000880,23.35%,21.83%,21.70%,2.10,1.38,0.68
001268,001268,26.45%,28.15%,28.71%,1.87,1.36,0.77
001638,001638,24.62%,24.21%,24.47%,1.27,1.06,0.59
001116,001116,5.39%,4.23%,4.47%,2.64,2.00,1.61
001546,001546,1.32%,1.11%,1.12%,3.31,4.27,3.99
001815,001815,23.77%,22.97%,24.51%,2.57,1.90,1.32
000707,000707,0.09%,0.10%,0.14%,8.82,10.48,10.56
001950,001950,1.35%,1.29%,1.81%,0.82,1.88,1.06
000642,000642,0.10%,0.11%,0.14%,7.39,9.25,10.58
000212,000212,2.02%,1.70%,1.53%,1.38,1.75,1.82
001053,001053,19.51%,18.94%,19.75%,2.95,2.06,1.34
001403,001403,27.68%,26.84%,26.13%,1.74,1.24,0.57
000992,000992,3.30%,5.75%,4.94%,1.41,1.41,1.05
002043,002043,20.41%,19.63%,18.50%,2.19,1.65,1.06
000584,000584,19.66%,19.21%,17.85%,2.76,1.96,1.42
000459,000459,--,--,--,--,--,--
000009,000009,0.10%,0.11%,0.14%,7.12,8.83,10.06
001618,001618,31.47%,31.88%,30.05%,1.43,1.14,0.52
001474,001474,20.10%,16.78%,14.16%,1.80,1.33,1.05
000265,000265,1.41%,1.28%,1.14%,1.69,3.32,3.70
001927,001927,22.38%,21.05%,21.02%,2.06,1.53,1.06
000635,000635,--,--,--,--,--,--
000320,000320,2.06%,1.62%,1.48%,1.16,1.81,1.87
001862,001862,5.44%,6.40%,7.17%,1.39,1.26,0.53
001531,001531,25.02%,19.58%,16.34%,1.23,1.04,0.75
000818,000818,0.09%,0.10%,0.14%,7.11,8.97,9.65
000398,000398,15.55%,12.55%,11.63%,1.29,1.03,0.33
001970,001970,29.06%,29.42%,28.14%,1.07,0.97,0.38
000662,000662,0.10%,0.11%,0.16%,9.68,10.94,11.56
001589,001589,20.26%,20.44%,19.91%,1.53,1.10,0.54
001073,001073,4.16%,4.18%,3.96%,1.76,1.30,0.95
001423,001423,3.34%,2.88%,2.54%,3.64,3.26,2.80
001136,001136,2.97%,3.08%,2.88%,1.95,2.06,1.72
001566,001566,4.63%,4.17%,4.19%,2.75,2.64,1.78
001835,001835,3.35%,5.59%,--,3.35,2.01,--
000727,000727,23.64%,25.89%,26.09%,3.17,2.19,1.39
000377,000377,4.14%,3.42%,4.14%,1.41,1.56,0.43
000418,000418,23.88%,24.49%,25.23%,2.47,1.82,1.06
000048,000048,9.05%,7.97%,6.88%,2.01,1.54,1.21
001209,001209,22.54%,21.75%,21.11%,1.86,1.38,0.66
001659,001659,23.19%,20.81%,21.10%,1.29,1.16,0.62
001065,001065,15.56%,11.10%,9.28%,-0.56,-0.15,-0.24
000674,000674,0.54%,1.75%,2.30%,-1.49,-1.09,0.94
001966,001966,20.57%,18.69%,19.28%,2.18,1.77,0.99
001989,001989,2.01%,1.62%,1.51%,0.08,0.95,1.34
000361,000361,1.90%,5.51%,4.93%,1.53,0.82,0.18
000731,000731,--,--,--,--,--,--
001823,001823,5.77%,7.72%,7.60%,3.34,1.44,0.76
001570,001570,4.05%,3.78%,3.65%,2.81,2.18,1.39
001120,001120,23.66%,20.61%,21.02%,1.66,1.04,0.34
000859,000859,5.05%,4.73%,4.25%,1.59,0.28,0.14
001931,001931,0.09%,0.10%,0.15%,9.70,10.60,10.88
000789,000789,0.09%,0.11%,0.14%,7.19,8.85,10.07
000273,000273,15.27%,15.56%,17.19%,1.65,1.36,0.24
001198,001198,9.56%,7.14%,7.46%,2.01,1.27,0.48
001177,001177,0.05%,0.05%,0.09%,-13.37,-8.66,-1.72
001527,001527,0.12%,0.14%,0.16%,3.09,6.09,8.08
001874,001874,18.89%,24.87%,22.45%,1.90,1.27,1.00
000336,000336,29.89%,26.85%,25.43%,2.92,1.91,1.00
000121,000121,11.25%,10.46%,9.64%,2.12,1.51,1.00
000822,000822,23.63%,23.22%,23.07%,1.49,1.07,0.40
001730,001730,23.82%,19.58%,19.14%,1.64,0.86,0.31
000988,000988,21.87%,22.16%,21.79%,2.08,1.01,0.75
000967,000967,23.05%,21.03%,20.79%,2.26,1.63,1.19
001675,001675,17.51%,18.49%,17.97%,0.66,0.74,0.17
001225,001225,34.13%,26.01%,24.31%,0.91,0.74,0.05
000064,000064,2.49%,2.04%,1.96%,0.46,1.94,2.16
000434,000434,0.09%,0.10%,0.15%,5.13,6.85,8.21
000658,000658,0.00%,0.00%,0.12%,--,-2.32,-10.59
000208,000208,7.88%,7.25%,7.65%,0.52,0.40,-0.10
001419,001419,11.92%,15.38%,16.19%,2.41,1.54,0.78
001337,001337,5.86%,5.15%,5.27%,2.46,2.25,1.41
000875,000875,3.34%,2.70%,2.50%,1.50,1.74,1.72
000526,000526,6.07%,9.49%,11.83%,2.47,0.84,0.19
000176,000176,19.81%,19.75%,19.93%,1.38,1.06,0.61
000199,000199,20.83%,19.43%,19.25%,1.26,0.98,0.30
000463,000463,12.76%,9.35%,13.04%,-1.53,-1.21,-1.56
000033,000033,1.91%,1.63%,1.56%,0.45,1.81,1.85
001272,001272,16.03%,17.31%,17.82%,2.25,1.64,0.48
000930,000930,16.85%,13.97%,12.12%,0.91,1.46,0.94
001858,001858,21.39%,18.73%,16.82%,2.79,1.80,1.04
000160,000160,--,--,--,--,--,--
000530,000530,25.67%,21.26%,18.08%,1.64,1.28,0.88
000863,000863,0.11%,0.10%,0.11%,6.69,8.81,10.02
001634,001634,3.33%,3.88%,5.07%,3.06,2.17,0.91
000926,000926,18.84%,17.56%,18.38%,1.88,1.11,0.00
001264,001264,19.05%,16.29%,13.73%,1.28,1.40,1.22
002018,002018,5.15%,4.66%,4.32%,1.84,1.78,1.40
000025,000025,1.78%,1.53%,1.40%,2.38,2.78,2.60
000475,000475,0.08%,0.10%,0.16%,5.92,7.86,8.69
000619,000619,22.25%,22.48%,22.00%,1.61,1.08,0.73
001008,001008,20.69%,19.54%,20.78%,2.10,1.46,0.89
001376,001376,16.79%,16.94%,17.68%,2.87,1.82,1.11
