,基金号,近1年std,近2年std,近3年std,近1年夏普率,近2年夏普率,近3年夏普率
001726,001726,22.43%,24.10%,26.26%,1.98,1.32,0.62
000834,000834,22.68%,20.69%,18.91%,0.59,0.42,0.78
000567,000567,16.69%,15.20%,16.97%,2.15,1.36,0.65
000137,000137,3.31%,2.85%,2.40%,0.39,1.38,1.60
000422,000422,2.13%,1.73%,1.60%,0.49,1.31,1.41
000588,000588,0.09%,0.11%,0.16%,5.89,7.52,8.97
000072,000072,4.34%,3.24%,2.91%,2.05,1.32,1.17
001233,001233,0.13%,0.15%,0.17%,5.97,7.19,9.29
001399,001399,6.42%,6.09%,5.56%,2.03,1.55,1.23
001663,001663,25.89%,22.13%,22.66%,1.32,1.06,0.46
000971,000971,26.80%,26.51%,26.02%,1.83,1.67,0.65
001819,001819,1.69%,1.41%,1.45%,1.63,2.69,2.89
001687,001687,8.21%,7.90%,7.06%,1.77,1.49,1.11
000995,000995,22.70%,21.07%,20.35%,1.59,1.10,0.53
000583,000583,1.69%,1.62%,1.67%,1.95,2.27,1.49
000079,000079,1.87%,1.56%,1.61%,0.62,1.82,1.69
001392,001392,20.98%,19.37%,18.29%,0.74,0.69,0.33
001668,001668,20.11%,18.70%,18.51%,2.32,1.49,1.23
001812,001812,0.09%,0.11%,0.14%,6.14,8.22,9.61
000700,000700,0.11%,0.22%,0.22%,8.22,6.24,8.07
001111,001111,3.08%,2.64%,2.61%,3.28,3.20,2.47
001541,001541,22.84%,22.23%,23.10%,2.47,1.68,0.72
001054,001054,21.21%,20.55%,21.09%,2.58,1.95,1.10
001404,001404,30.69%,26.24%,25.40%,1.54,1.24,0.71
001957,001957,4.42%,3.82%,--,0.91,1.19,--
000645,000645,0.12%,0.13%,0.16%,5.08,7.58,9.31
000215,000215,3.06%,3.09%,5.22%,2.56,2.16,1.22
001280,001280,20.05%,20.34%,20.73%,2.69,1.84,1.17
000868,000868,0.09%,0.09%,0.14%,7.32,8.95,9.45
001795,001795,29.61%,29.42%,29.22%,1.19,0.90,0.30
000887,000887,6.98%,6.38%,5.70%,0.98,0.75,0.38
000184,000184,6.59%,6.10%,5.78%,0.97,0.22,-0.01
001516,001516,0.09%,0.11%,0.16%,8.54,10.36,10.92
001146,001146,3.72%,3.05%,3.16%,3.18,2.87,2.06
000307,000307,16.51%,13.53%,11.70%,0.97,1.47,0.94
000757,000757,26.04%,25.86%,25.90%,1.89,1.27,0.50
000242,000242,25.55%,23.06%,23.05%,2.01,1.54,0.85
001900,001900,23.61%,--,--,1.45,--,--
000612,000612,24.09%,25.36%,24.60%,2.05,1.46,0.65
001453,001453,4.73%,7.96%,10.81%,2.61,1.62,0.27
001003,001003,7.19%,5.87%,4.98%,1.53,1.41,1.09
001296,001296,15.98%,14.29%,13.87%,2.35,1.45,0.82
000487,000487,0.18%,0.18%,0.23%,-0.72,-0.72,8.65
002005,002005,4.16%,3.10%,3.86%,1.77,1.51,0.81
000192,000192,1.61%,1.37%,1.34%,1.02,2.35,2.45
001629,001629,27.61%,31.20%,30.43%,1.03,0.87,0.44
000891,000891,0.09%,0.11%,0.15%,10.11,10.73,11.76
001783,001783,2.59%,--,--,0.45,--,--
001279,001279,26.00%,26.32%,26.17%,2.01,1.62,0.74
000741,000741,0.09%,0.10%,0.13%,5.17,6.92,8.31
001853,001853,--,--,--,--,--,--
000311,000311,20.36%,20.22%,20.12%,1.13,0.88,0.49
001150,001150,19.87%,20.33%,21.37%,2.28,1.18,0.62
001500,001500,20.60%,21.46%,21.06%,2.63,1.84,1.32
001015,001015,20.46%,20.18%,19.66%,1.31,0.99,0.54
001445,001445,22.75%,22.66%,21.84%,2.54,2.08,1.27
000604,000604,0.09%,0.10%,0.15%,6.45,8.61,9.52
001916,001916,0.11%,0.14%,0.16%,3.48,6.35,8.52
000254,000254,5.07%,3.70%,3.13%,0.78,0.61,0.75
000080,000080,13.55%,13.10%,12.23%,0.91,1.02,0.67
001691,001691,20.70%,20.59%,22.34%,3.02,1.85,0.99
000829,000829,0.10%,0.11%,0.16%,6.32,7.97,9.10
001384,001384,21.93%,20.06%,20.09%,2.59,1.48,0.81
002052,002052,7.57%,5.98%,5.41%,1.07,0.89,0.74
000595,000595,22.57%,21.83%,22.44%,2.38,2.00,1.21
001557,001557,22.50%,23.40%,22.73%,1.85,1.11,0.62
000346,000346,1.28%,2.61%,2.23%,2.07,1.49,1.83
000716,000716,0.11%,0.13%,0.16%,9.12,10.45,11.89
000203,000203,0.09%,0.10%,0.14%,5.54,6.37,7.96
001941,001941,0.67%,0.53%,0.56%,2.30,3.49,3.93
001412,001412,7.93%,6.43%,5.94%,1.91,1.58,1.23
001042,001042,22.75%,21.92%,22.39%,1.47,0.99,0.01
001255,001255,21.91%,20.29%,21.04%,1.47,1.34,0.36
000917,000917,0.10%,0.10%,0.14%,10.30,11.89,11.80
001605,001605,22.50%,21.37%,21.83%,2.28,1.81,1.24
002029,002029,7.23%,7.35%,7.39%,1.86,1.14,0.70
000014,000014,13.04%,11.50%,9.81%,1.65,1.24,0.81
000501,000501,6.24%,4.75%,3.99%,1.10,1.39,1.41
001740,001740,30.34%,28.11%,29.77%,2.06,1.20,0.51
001890,001890,21.02%,20.72%,20.97%,1.91,1.74,1.02
000628,000628,19.05%,18.37%,18.67%,2.27,1.71,1.15
001193,001193,20.41%,20.20%,20.78%,2.44,1.75,0.72
001469,001469,21.93%,21.73%,21.08%,0.34,0.52,0.20
001039,001039,24.93%,23.82%,23.62%,2.54,1.81,0.92
000297,000297,18.43%,16.66%,15.32%,1.84,1.37,0.92
000043,000043,25.18%,22.01%,19.54%,1.07,0.59,0.89
000940,000940,27.55%,26.61%,25.27%,2.35,1.78,1.02
001202,001202,5.59%,6.89%,7.06%,2.58,1.69,1.20
000805,000805,18.43%,17.54%,19.33%,2.38,1.73,0.44
001717,001717,24.10%,23.67%,23.69%,2.85,2.11,1.45
001347,001347,14.47%,11.86%,10.08%,2.33,1.55,1.25
000106,000106,1.13%,1.47%,1.35%,1.64,2.05,2.21
000556,000556,22.29%,20.89%,18.05%,2.80,1.93,1.45
001594,001594,17.16%,17.72%,17.81%,-0.11,0.17,0.12
000385,000385,4.17%,3.45%,3.52%,1.10,1.26,0.95
000690,000690,31.58%,29.59%,27.30%,1.64,1.27,0.72
001982,001982,0.10%,0.11%,0.16%,7.93,9.62,10.26
001214,001214,20.89%,23.02%,22.15%,1.51,0.85,0.18
001644,001644,36.68%,31.07%,28.47%,2.04,1.60,1.02
000055,000055,27.16%,24.32%,21.97%,1.45,0.84,1.00
000540,000540,0.10%,0.12%,0.14%,9.71,10.64,11.88
000110,000110,7.40%,8.68%,7.55%,2.05,1.29,1.14
001351,001351,23.65%,24.23%,22.69%,1.55,0.81,0.16
001701,001701,27.44%,26.65%,26.26%,2.69,1.74,1.01
000239,000239,3.34%,2.76%,2.52%,2.23,2.71,2.30
000669,000669,2.06%,2.19%,1.96%,0.00,1.30,1.33
001428,001428,2.49%,--,--,0.82,--,--
001078,001078,0.09%,0.11%,0.14%,11.30,11.47,11.74
001097,001097,21.26%,20.99%,21.15%,1.55,0.98,0.40
001994,001994,2.96%,2.68%,2.40%,2.23,2.09,2.05
000686,000686,0.10%,0.14%,0.17%,7.26,8.41,10.20
000002,000002,--,--,--,--,--,--
000452,000452,26.77%,22.52%,20.21%,2.28,1.91,1.44
001613,001613,21.23%,16.92%,13.88%,1.47,1.13,0.95
000901,000901,0.11%,0.11%,0.17%,3.81,6.01,7.31
001243,001243,23.87%,23.92%,23.25%,1.21,0.80,0.30
001756,001756,5.68%,4.82%,4.25%,2.65,2.02,1.77
000844,000844,3.09%,3.93%,4.28%,2.86,1.93,1.38
001306,001306,23.37%,22.67%,22.13%,2.51,1.65,0.98
000147,000147,2.14%,1.80%,1.69%,0.69,2.02,2.18
000517,000517,1.77%,1.63%,1.58%,1.20,2.89,2.72
001185,001185,7.23%,7.35%,7.39%,1.89,1.17,0.72
001886,001886,21.09%,20.32%,20.86%,2.71,1.96,1.18
000794,000794,24.78%,25.77%,26.44%,2.05,1.63,0.79
001869,001869,18.83%,20.09%,20.93%,3.16,2.02,1.06
001490,001490,21.20%,20.86%,21.73%,2.86,1.90,0.83
000219,000219,25.16%,26.05%,25.12%,1.84,1.36,0.78
000649,000649,23.18%,18.96%,15.66%,2.41,1.63,1.30
001408,001408,14.67%,11.00%,9.72%,0.96,0.60,0.32
001058,001058,0.10%,0.12%,0.17%,10.69,11.23,11.44
000560,000560,0.09%,0.10%,0.15%,8.18,9.84,10.12
000130,000130,2.29%,2.03%,1.99%,1.11,1.30,1.97
001371,001371,20.13%,17.97%,18.63%,2.24,1.47,0.99
001721,001721,4.86%,3.57%,3.91%,1.98,1.66,0.72
000833,000833,0.32%,0.24%,0.23%,4.17,5.70,8.18
001234,001234,0.10%,0.12%,0.14%,10.38,11.44,12.63
001664,001664,8.77%,7.08%,8.60%,0.92,0.51,0.17
000976,000976,26.68%,22.66%,22.19%,2.67,1.82,1.10
000425,000425,0.09%,0.09%,0.14%,7.65,9.49,9.76
002048,002048,2.01%,1.56%,1.78%,0.84,1.78,1.27
000075,000075,19.37%,18.81%,18.53%,-0.57,-0.41,-0.21
001849,001849,18.41%,19.39%,20.40%,2.21,1.51,0.80
001776,001776,1.41%,1.18%,1.16%,1.98,3.47,3.62
001326,001326,4.80%,4.18%,4.64%,2.17,1.79,1.21
000167,000167,21.99%,22.32%,23.45%,2.23,1.84,1.13
000188,000188,2.56%,2.11%,2.07%,0.78,1.23,1.79
000472,000472,--,--,--,--,--,--
001633,001633,3.34%,3.88%,5.08%,3.12,2.23,0.95
000921,000921,0.10%,0.11%,0.16%,4.38,6.62,7.73
001799,001799,21.94%,20.11%,19.84%,2.00,1.42,0.78
001449,001449,22.21%,22.01%,21.55%,1.22,1.37,0.57
001019,001019,1.87%,1.62%,1.70%,1.56,2.71,2.06
000521,000521,2.52%,1.85%,--,0.70,1.22,--
000171,000171,5.00%,4.57%,4.40%,1.84,1.80,1.63
001330,001330,5.45%,4.42%,3.98%,2.61,1.63,1.34
000872,000872,0.11%,0.13%,0.16%,7.63,9.14,10.04
001760,001760,24.88%,19.93%,20.73%,1.44,0.89,0.23
001275,001275,22.02%,19.11%,16.62%,1.30,0.93,0.54
001625,001625,0.09%,0.10%,0.14%,11.46,12.23,11.88
000464,000464,0.09%,0.11%,0.15%,7.84,9.22,10.25
002009,002009,3.05%,2.62%,2.51%,3.05,3.23,2.68
001808,001808,25.05%,24.78%,25.27%,2.42,1.82,0.90
000825,000825,21.34%,19.96%,20.15%,1.53,1.25,0.69
001367,001367,4.09%,4.13%,4.06%,1.56,1.52,1.21
000126,000126,24.59%,19.59%,16.30%,2.68,2.16,1.73
000576,000576,0.09%,0.12%,0.15%,4.43,5.41,7.28
000599,000599,0.09%,0.11%,0.15%,8.12,9.65,10.59
000063,000063,29.76%,27.62%,26.32%,1.27,0.69,0.15
000433,000433,20.13%,20.18%,20.18%,1.12,0.92,0.29
001388,001388,23.23%,20.68%,20.74%,2.82,2.01,1.20
000960,000960,26.10%,26.10%,26.71%,2.50,1.92,1.36
001672,001672,24.61%,23.35%,23.33%,2.13,1.37,0.65
001222,001222,22.16%,21.39%,23.26%,2.42,2.13,1.21
001035,001035,4.20%,3.63%,3.49%,2.26,1.84,1.55
001936,001936,4.83%,4.64%,4.58%,-0.74,-0.29,0.07
000274,000274,10.11%,8.17%,7.95%,0.20,0.46,0.36
000761,000761,21.06%,19.92%,20.18%,2.10,1.33,0.63
000331,000331,0.11%,0.12%,0.16%,4.56,6.90,8.47
001170,001170,18.92%,19.00%,21.55%,2.25,1.74,0.88
001520,001520,18.97%,18.75%,--,2.54,1.63,--
002025,002025,3.99%,3.16%,2.92%,2.55,2.42,2.07
001609,001609,15.73%,11.74%,11.31%,1.39,1.08,0.65
000389,000389,0.09%,0.10%,0.16%,6.80,8.61,9.28
000673,000673,--,--,--,--,--,--
001961,001961,2.30%,1.68%,1.45%,0.40,0.97,1.52
001577,001577,23.43%,21.87%,21.72%,2.51,1.66,0.91
001127,001127,20.04%,15.83%,17.21%,2.03,1.46,0.80
000366,000366,0.09%,0.11%,0.13%,6.66,8.07,9.41
000736,000736,2.50%,2.18%,2.24%,-0.75,0.86,0.94
001824,001824,21.47%,18.95%,18.96%,1.86,1.10,0.49
000809,000809,0.11%,0.14%,0.14%,9.75,11.81,14.11
001074,001074,18.24%,19.20%,19.26%,1.61,1.08,0.46
001424,001424,19.89%,18.07%,16.00%,1.27,1.45,1.16
000665,000665,0.09%,0.10%,0.14%,8.83,10.40,10.90
000235,000235,1.84%,1.79%,1.76%,0.63,0.97,1.79
001832,001832,23.35%,23.30%,--,2.10,1.83,--
000720,000720,1.73%,1.61%,1.47%,1.38,1.60,1.49
001998,001998,22.02%,17.22%,15.37%,2.53,1.92,1.39
000370,000370,22.54%,19.46%,17.58%,0.72,0.37,0.44
000059,000059,21.66%,22.32%,22.56%,2.02,1.14,0.59
000409,000409,25.55%,23.38%,21.93%,2.80,1.80,0.99
001648,001648,10.54%,13.11%,15.12%,2.46,1.07,0.29
001218,001218,21.63%,20.57%,21.37%,3.20,1.92,0.89
000798,000798,0.57%,--,--,4.33,--,--
001920,001920,4.38%,3.85%,3.87%,0.36,0.78,0.59
000632,000632,5.19%,4.28%,3.90%,0.97,1.53,1.03
001189,001189,5.41%,4.55%,4.83%,2.91,1.93,1.49
001473,001473,18.00%,18.82%,20.10%,2.74,2.12,1.07
001023,001023,3.22%,2.70%,2.54%,0.01,0.81,0.90
001536,001536,14.76%,13.71%,15.02%,2.21,1.62,0.81
001166,001166,23.78%,21.46%,21.43%,2.07,1.32,0.43
000327,000327,19.92%,19.07%,15.82%,2.29,1.76,1.41
001865,001865,12.86%,18.27%,20.18%,1.81,1.18,0.75
000848,000848,0.10%,0.11%,0.15%,7.34,9.09,10.43
000849,000849,22.06%,20.78%,18.45%,1.65,1.01,0.65
000799,000799,--,--,--,--,--,--
000263,000263,22.20%,22.64%,22.77%,3.10,2.29,1.33
001921,001921,4.40%,3.83%,3.83%,0.29,0.67,0.49
001188,001188,21.43%,20.16%,20.22%,1.31,1.12,0.64
001472,001472,--,--,--,--,--,--
001537,001537,21.03%,20.37%,19.65%,1.67,1.19,0.34
001167,001167,23.87%,22.72%,23.63%,1.73,1.11,0.49
000326,000326,19.62%,17.30%,14.33%,2.35,1.61,1.27
001864,001864,20.32%,21.89%,23.32%,3.01,1.91,0.97
000058,000058,10.05%,9.10%,7.48%,1.30,1.36,1.17
000408,000408,20.88%,21.36%,22.38%,2.54,1.93,1.15
001219,001219,19.88%,20.48%,20.40%,1.89,1.15,0.53
001075,001075,25.98%,24.22%,23.44%,1.45,1.01,0.44
001425,001425,19.89%,18.26%,16.07%,1.26,1.29,1.03
001976,001976,2.20%,1.83%,2.27%,0.74,1.77,1.84
000664,000664,3.08%,4.74%,9.32%,0.17,0.76,0.27
000721,000721,0.11%,0.11%,0.14%,3.97,5.76,7.54
000371,000371,0.13%,0.14%,0.16%,6.03,8.56,10.50
000808,000808,0.11%,0.14%,0.14%,9.80,11.87,14.17
000222,000222,2.11%,1.89%,2.47%,1.77,2.97,0.85
000672,000672,3.24%,3.87%,3.69%,4.26,1.77,0.93
001960,001960,2.01%,1.59%,1.48%,0.53,1.19,1.66
001433,001433,3.35%,5.52%,6.16%,3.30,1.78,1.33
001063,001063,13.55%,9.79%,8.40%,-0.89,-0.22,-0.14
001576,001576,26.23%,25.60%,25.12%,2.80,1.68,0.93
001126,001126,24.55%,22.18%,22.86%,2.74,2.33,1.15
000367,000367,6.22%,5.60%,5.72%,2.66,1.90,1.30
000737,000737,2.51%,2.20%,2.27%,-0.90,0.67,0.74
001825,001825,23.22%,22.58%,22.29%,2.09,1.48,0.75
002024,002024,10.41%,9.45%,11.18%,0.54,0.79,0.18
001608,001608,19.85%,19.20%,18.99%,2.49,1.87,1.34
001258,001258,4.05%,4.65%,4.72%,1.86,1.45,0.85
001464,001464,5.80%,7.70%,7.60%,3.37,1.49,0.80
000625,000625,0.09%,0.10%,0.14%,8.17,9.83,10.27
001937,001937,0.10%,0.11%,0.15%,7.09,8.85,9.72
000275,000275,11.95%,9.65%,8.75%,0.50,0.46,0.21
000760,000760,0.11%,0.11%,0.14%,6.32,7.94,8.81
000330,000330,0.10%,0.12%,0.16%,7.38,8.91,10.36
001171,001171,23.14%,23.04%,22.76%,2.73,1.83,1.27
001521,001521,25.20%,24.45%,24.47%,1.77,1.21,0.53
000824,000824,21.35%,19.93%,20.14%,1.57,1.29,0.74
001736,001736,21.09%,20.53%,20.03%,2.61,1.58,1.03
001366,001366,20.69%,21.48%,22.65%,2.60,1.59,0.84
000127,000127,21.41%,20.62%,20.55%,2.24,1.56,1.01
000577,000577,20.38%,19.84%,20.28%,2.23,1.40,0.75
000598,000598,28.61%,28.55%,24.30%,1.35,0.82,0.59
000432,000432,23.78%,20.69%,20.78%,1.59,1.17,0.65
000961,000961,19.55%,19.75%,19.54%,1.18,0.93,0.48
001223,001223,22.61%,23.95%,24.01%,1.42,1.02,0.45
001809,001809,35.89%,31.93%,29.06%,1.50,1.28,0.64
000520,000520,17.84%,19.27%,19.67%,1.89,1.53,0.89
001331,001331,5.58%,7.61%,8.22%,1.89,1.47,0.73
000873,000873,0.09%,0.10%,0.14%,8.28,9.62,9.86
001761,001761,10.60%,8.79%,7.23%,0.56,0.30,0.55
001274,001274,0.00%,3.05%,--,5.02,-0.25,--
000936,000936,18.09%,16.81%,16.56%,2.74,2.02,1.22
001624,001624,0.08%,0.09%,0.13%,9.07,10.19,10.32
000465,000465,1.94%,1.72%,1.51%,0.88,1.73,1.55
000259,000259,19.33%,18.58%,18.32%,2.45,1.75,1.01
000609,000609,23.93%,23.52%,22.80%,2.63,1.82,1.06
001448,001448,15.29%,11.63%,11.16%,0.19,0.31,-0.11
001018,001018,22.81%,23.41%,23.31%,2.18,1.61,0.95
001327,001327,8.35%,13.23%,14.25%,1.74,1.18,0.42
000166,000166,29.80%,24.95%,21.73%,1.28,1.29,0.87
000536,000536,13.73%,14.34%,13.66%,0.76,0.69,0.20
000189,000189,7.84%,6.16%,5.44%,2.19,1.67,1.34
001632,001632,23.27%,23.50%,24.26%,2.17,1.68,1.19
000920,000920,0.09%,0.11%,0.14%,8.33,9.62,10.63
001798,001798,21.94%,20.11%,19.83%,2.01,1.44,0.80
000561,000561,1.83%,1.42%,1.68%,0.64,1.37,1.31
000131,000131,2.29%,2.04%,2.00%,0.93,1.09,1.76
000998,000998,3.25%,2.49%,2.47%,1.95,2.17,1.42
001370,001370,6.72%,8.08%,7.23%,2.16,1.50,1.20
001720,001720,3.83%,4.06%,4.39%,2.66,2.06,1.29
000832,000832,0.07%,0.09%,0.15%,7.57,9.43,8.66
001235,001235,2.18%,2.16%,1.93%,1.84,2.02,2.06
001665,001665,8.78%,7.10%,8.60%,0.88,0.45,0.12
000977,000977,24.43%,23.11%,22.71%,3.59,2.45,1.33
000424,000424,0.08%,0.09%,0.14%,5.18,7.32,8.23
000074,000074,1.52%,1.40%,1.63%,1.11,2.45,2.28
002049,002049,4.92%,4.48%,4.02%,3.01,2.47,2.07
000218,000218,16.75%,13.87%,12.02%,0.91,1.45,0.93
000648,000648,0.10%,0.11%,0.15%,10.44,11.30,12.00
001409,001409,25.20%,24.69%,24.88%,2.05,1.49,0.55
001059,001059,2.70%,2.90%,2.79%,2.47,1.23,0.72
001184,001184,20.72%,21.41%,23.49%,2.02,1.35,0.26
001887,001887,18.17%,21.43%,20.60%,2.79,1.76,1.17
000795,000795,--,--,--,--,--,--
001868,001868,1.52%,1.23%,1.29%,1.68,3.13,3.02
000003,000003,22.89%,20.68%,19.17%,0.96,0.83,0.23
001242,001242,23.88%,23.92%,23.25%,1.21,0.80,0.30
000845,000845,18.23%,17.74%,19.55%,1.50,1.32,0.49
001307,001307,23.34%,22.68%,22.13%,2.48,1.61,0.95
000516,000516,1.77%,1.63%,1.58%,1.43,3.14,2.97
000668,000668,2.07%,1.73%,1.62%,0.20,1.34,1.43
001583,001583,19.48%,21.06%,21.63%,1.44,0.96,0.60
001096,001096,0.09%,0.12%,0.16%,7.49,9.30,10.32
000687,000687,0.09%,0.11%,0.15%,7.94,9.42,10.39
001215,001215,17.82%,19.23%,19.81%,1.75,1.52,0.68
001645,001645,23.87%,24.54%,25.49%,2.59,1.98,1.14
000404,000404,27.33%,27.28%,28.07%,2.24,1.62,0.78
000054,000054,5.56%,4.74%,4.25%,1.73,1.63,1.24
000541,000541,26.81%,25.31%,25.51%,2.61,2.02,0.93
000111,000111,1.72%,1.38%,1.27%,1.09,2.32,2.61
000812,000812,11.84%,9.25%,7.89%,1.52,0.86,0.77
001595,001595,17.16%,17.71%,17.81%,-0.13,0.16,0.11
001829,001829,16.88%,15.93%,17.86%,1.40,1.06,0.04
001983,001983,26.04%,22.92%,22.56%,1.80,1.51,0.62
000042,000042,19.30%,19.34%,19.15%,1.30,0.96,0.58
001203,001203,4.63%,5.36%,5.79%,2.36,2.02,1.38
000804,000804,6.57%,5.02%,4.22%,0.85,0.90,0.72
001716,001716,20.51%,16.56%,16.09%,3.32,2.45,1.60
000107,000107,2.98%,2.71%,2.52%,1.68,2.09,1.80
000557,000557,22.25%,20.86%,18.04%,2.78,1.91,1.43
000783,000783,0.94%,0.08%,--,3.24,27.54,--
001891,001891,21.99%,22.20%,20.60%,1.42,0.85,0.57
000279,000279,15.81%,16.09%,18.05%,2.45,1.34,0.77
001192,001192,21.89%,20.98%,23.13%,1.83,1.17,0.37
001468,001468,24.16%,22.36%,22.55%,2.43,1.87,0.74
001487,001487,24.64%,22.19%,23.88%,1.53,1.46,0.77
000296,000296,4.17%,3.27%,3.17%,0.45,0.96,0.75
001254,001254,9.70%,12.42%,14.48%,0.88,0.94,0.34
000916,000916,17.04%,17.54%,17.42%,1.49,0.97,0.42
001604,001604,20.86%,17.38%,16.27%,1.61,1.35,0.64
000015,000015,1.44%,1.21%,1.21%,0.89,2.34,2.48
000150,000150,3.09%,2.32%,2.15%,1.01,1.29,1.43
001311,001311,3.34%,3.06%,2.97%,2.80,2.36,1.94
001741,001741,18.77%,18.49%,20.16%,1.53,0.76,0.34
001556,001556,22.50%,23.40%,22.73%,1.87,1.13,0.64
001106,001106,24.63%,23.04%,22.83%,1.73,1.22,0.55
000347,000347,1.28%,1.68%,1.54%,1.78,1.31,1.84
000717,000717,25.06%,24.21%,23.36%,2.52,1.85,1.24
000652,000652,21.87%,21.10%,19.97%,2.37,1.80,1.21
001940,001940,21.41%,19.80%,19.68%,2.35,1.67,0.78
001413,001413,17.96%,13.72%,12.26%,0.95,0.96,0.25
001043,001043,20.38%,20.14%,20.66%,2.47,1.94,1.12
000081,000081,13.54%,13.10%,12.23%,0.89,0.99,0.63
000982,000982,0.11%,0.14%,0.16%,7.87,7.97,9.29
000828,000828,30.33%,28.42%,27.06%,1.89,1.61,0.79
001385,001385,21.92%,20.06%,20.08%,2.57,1.46,0.79
002053,002053,8.68%,6.92%,6.62%,1.66,1.03,0.49
000594,000594,24.53%,22.55%,22.51%,1.59,1.08,0.58
000740,000740,0.10%,0.10%,0.14%,7.07,8.60,9.59
001852,001852,24.17%,23.96%,24.25%,2.24,1.93,1.18
000310,000310,2.74%,2.15%,1.91%,0.78,1.77,1.99
001151,001151,--,--,--,--,--,--
001014,001014,20.84%,17.78%,15.42%,0.97,0.49,0.14
001444,001444,7.43%,7.03%,6.81%,2.93,2.58,1.92
000605,000605,0.10%,0.11%,0.16%,8.70,10.46,10.90
001917,001917,21.32%,22.19%,21.85%,2.32,1.50,0.68
000255,000255,5.07%,3.70%,3.13%,0.70,0.50,0.62
001297,001297,22.87%,21.70%,23.38%,2.66,2.00,0.91
000486,000486,0.11%,0.08%,0.08%,29.91,41.92,41.92
000039,000039,26.37%,22.91%,21.76%,1.96,1.43,0.75
002004,002004,12.24%,13.72%,15.56%,2.99,1.43,0.51
000469,000469,1.60%,1.57%,1.47%,0.97,1.85,2.26
001628,001628,24.71%,25.51%,25.41%,1.54,1.28,0.74
000890,000890,1.96%,1.66%,1.49%,0.20,0.69,0.56
001782,001782,15.17%,17.58%,15.37%,1.97,1.42,1.13
001278,001278,13.02%,17.76%,14.94%,1.55,1.62,1.19
001147,001147,3.72%,3.05%,3.16%,3.18,2.86,2.05
000306,000306,2.78%,2.15%,2.48%,0.34,0.61,0.49
001844,001844,15.13%,17.59%,15.33%,1.96,1.33,1.04
000756,000756,21.80%,22.48%,22.43%,2.11,1.29,0.63
001901,001901,11.56%,10.94%,9.97%,2.60,1.38,1.02
000613,000613,19.35%,19.47%,19.14%,1.08,0.83,0.39
001002,001002,--,--,--,--,--,--
000490,000490,1.49%,1.47%,1.33%,1.04,1.11,1.52
001281,001281,18.05%,16.40%,17.90%,1.63,1.27,0.93
000869,000869,0.09%,0.09%,0.14%,7.32,9.03,9.51
001794,001794,1.81%,1.46%,1.38%,0.82,2.03,2.52
000185,000185,6.64%,6.12%,5.84%,0.90,0.16,0.05
002012,002012,--,--,--,--,--,--
000701,000701,0.09%,0.10%,0.14%,6.63,8.62,9.11
000351,000351,2.14%,2.26%,1.98%,0.32,1.06,1.19
001110,001110,3.08%,2.64%,2.62%,3.28,3.20,2.48
001540,001540,27.17%,22.98%,21.98%,2.05,1.50,0.75
001405,001405,5.14%,5.23%,4.77%,2.24,1.59,1.39
001956,001956,34.97%,32.27%,31.16%,1.60,1.51,0.70
000644,000644,0.10%,0.10%,0.14%,3.44,5.71,7.14
000214,000214,10.66%,8.33%,10.75%,1.45,1.47,0.48
001686,001686,8.21%,7.90%,7.06%,1.82,1.54,1.17
000994,000994,22.71%,21.06%,20.37%,1.63,1.14,0.56
000078,000078,1.83%,1.53%,1.59%,0.84,2.11,1.95
001393,001393,20.97%,19.48%,18.46%,0.72,0.76,0.44
001669,001669,0.11%,0.10%,0.12%,9.18,11.42,12.30
001239,001239,22.94%,20.76%,19.43%,1.23,0.86,0.39
